horse_id,horse,trainer,trainer_id,owner,owner_id,sire,sire_id,dam,dam_id
hrs_27697334,Find A Fortune (IRE),Gordon Elliott,trn_163305,Aidan J Ryan,own_198952,Soldier Of Fortune (IRE),sir_4624284,Damefirth (IRE),dam_6025166
hrs_39699177,Jocker Du Moulin (FR),Gordon Elliott,trn_163305,Aidan J Ryan,own_198952,Buck's Boum (FR),sir_5010166,Arivolie (FR),dam_22641290
hrs_39699345,Rag N Bone (IRE),Michael Butler,trn_40797,Aiden Devaney,own_723384,Mahler (GB),sir_4624179,Rocella (GER),dam_5035618
hrs_34665351,Kilkee Bay (IRE),Gordon Elliott,trn_163305,Aiden Larkin John Larkin Paudie Dowling Kenneth Fox,own_1362760,Ocovango (GB),sir_5603829,Fly Bid (IRE),dam_14607572
hrs_32868241,Makaela's Choice (IRE),Thomas Mullins,trn_146871,Aisling Fitzpatrick,own_1297232,Scorpion (IRE),sir_4224962,Lady Goldilocks (IRE),dam_5604032
hrs_45445239,Eugenious (IRE),Turlough O'Connor,trn_269883,Aisling Mccarthy Eoin Mccarthy,own_1398244,Cloudings (IRE),sir_3234854,Glaisdale (GB),dam_5578517
hrs_28220752,And Still I Rise (IRE),John F O'Neill,trn_50139,Aisling Oneill,own_1273856,Ocovango (GB),sir_5603829,Present Your Own (IRE),dam_4904277
hrs_22082228,Tullyhogue Fort (IRE),John F O'Neill,trn_50139,Aisling Oneill Mrs Janeanne Oneill,own_1177312,Sholokhov (IRE),sir_3839283,Railway House (IRE),dam_5316283
hrs_24115399,Astrophysicist (GB),J A Nash,trn_189837,Alamo Eight Syndicate,own_1197300,Showcasing (GB),sir_5152770,Thousandkissesdeep (IRE),dam_5182310
hrs_29593109,Circus Act (IRE),J A Nash,trn_189837,Alamo Eight Syndicate,own_1197300,Buratino (IRE),sir_6167980,Daring Damsel (IRE),dam_5453791
hrs_32154269,Ella Rose (IRE),D E Prendergast,trn_144477,Alan Condon,own_1288360,Leading Light (IRE),sir_5720169,Boro Time (IRE),dam_29829359
hrs_19280758,A Mere Bagatelle (IRE),John Joseph Hanlon,trn_169605,Alan Cullen,own_608548,Born To Sea (IRE),sir_5411385,Passionforfashion (IRE),dam_4789729
hrs_46697287,Captain Porridge (IRE),E D Delany,trn_67716,Alan Delany Declan Mac Mahon,own_1404544,Doyen (IRE),sir_3983700,Sweet Cherry (IRE),dam_5924030
hrs_37407937,Chartwell's Lady (GB),Dermot A McLoughlin,trn_207063,Alan E Smith,own_844236,Churchill (IRE),sir_6345339,Rachel Zane (IRE),dam_16196082
hrs_23021348,Digby (IRE),Dermot A McLoughlin,trn_207063,Alan E Smith,own_844236,Tobougg (IRE),sir_3708180,Calissee (FR),dam_4769135
hrs_33359949,Down The Park (IRE),Dermot A McLoughlin,trn_207063,Alan E Smith,own_844236,Walk In The Park (IRE),sir_4218179,Flemensbay (GB),dam_6019937
hrs_41378554,Handy Manny (IRE),Dermot A McLoughlin,trn_207063,Alan E Smith,own_844236,Policy Maker (IRE),sir_3897341,La La Loopsey (IRE),dam_5838259
hrs_38202997,Helicon (IRE),Dermot A McLoughlin,trn_207063,Alan E Smith,own_844236,Ocovango (GB),sir_5603829,Ellazaria (GB),dam_4628806
hrs_27428408,Malton Groove (IRE),Dermot A McLoughlin,trn_207063,Alan E Smith,own_844236,Kayf Tara (GB),sir_3297462,Triptoshan (IRE),dam_6343379
hrs_33975039,Mousey Brown (IRE),Dermot A McLoughlin,trn_207063,Alan E Smith,own_844236,Califet (FR),sir_3769220,Desperado Queen (IRE),dam_4066951
hrs_20647235,Low Lie The Fields (IRE),Peter Maher,trn_193959,Alan E Smith,own_844236,Gold Well (GB),sir_4009047,Tir Na Gcapall (IRE),dam_5162619
hrs_43164611,Boola Times (IRE),David Kenneth Budds,trn_148131,Alan Gray Michael Troy Partnership,own_1387516,Awtaad (IRE),sir_6124769,Miss Topsy Turvy (IRE),dam_5371905
hrs_32683301,Bowmore (IRE),Henry De Bromhead,trn_11241,Alan Halsall,own_588124,Vadamos (FR),sir_6028491,Theola (IRE),dam_5034715
hrs_38089338,Nastya (IRE),Henry De Bromhead,trn_11241,Alan Halsall,own_588124,Vendangeur (IRE),sir_4595990,Lisnasella (IRE),dam_5812065
hrs_23165289,Upping The Anti (IRE),Henry De Bromhead,trn_11241,Alan Halsall,own_588124,Valirann (FR),sir_5740378,Hollygrove Cezanne (IRE),dam_4262209
hrs_34282192,Cast A Spell (IRE),T Hogan,trn_95337,Alan Jamieson Site Services Ltd,own_1028664,Mastercraftsman (IRE),sir_4870369,Blackwitch Woman (IRE),dam_4798843
hrs_21221704,Ballycairn (IRE),Mrs Caroline McCaldin,trn_289332,Alan Mccaldin,own_1027968,Fame And Glory (GB),sir_4871055,Eurowinner (IRE),dam_4184670
hrs_29816563,Rowdy Romeo (IRE),Mrs Caroline McCaldin,trn_289332,Alan Mccaldin,own_1027968,Conduit (IRE),sir_4799018,Rowdy Exit (IRE),dam_4842292
hrs_40920376,Telnobody (IRE),Ross O'Sullivan,trn_227025,Alan Telford,own_1406852,Shantou (USA),sir_740670,Soeur Dee (IRE),dam_33080943
hrs_31300094,Dutch Gold (IRE),Noel Meade,trn_40014,Albert Dravins Exors Of The Late Eamonn Scanlon,own_1353212,Galileo Gold (GB),sir_6232947,Dutch Monarch (GB),dam_12739573
hrs_27889057,Faulty (GB),Noel Meade,trn_40014,Albert Dravins Exors Of The Late Eamonn Scanlon,own_1353212,Dunaden (FR),sir_5215966,Topette (FR),dam_9711646
hrs_412712104,Built By Rossies (IRE),Thomas Gibney,trn_173538,Alberta Capital Ltd,own_1219024,Walk In The Park (IRE),sir_4218179,Raise The Issue (IRE),dam_4656946
hrs_38173870,Get Down To It (IRE),Thomas Gibney,trn_173538,Alberta Capital Ltd,own_1219024,Getaway (GER),sir_4602430,Lady Artemis (IRE),dam_6234711
hrs_34788789,Leave In Secret (IRE),Thomas Gibney,trn_173538,Alberta Capital Ltd,own_1219024,Elusive Pimpernel (USA),sir_5164180,Secret Leave (GB),dam_5257175
hrs_29523312,Meyo (GB),Thomas Gibney,trn_173538,Alberta Capital Ltd,own_1219024,Walk In The Park (IRE),sir_4218179,Belle Brook (IRE),dam_5117357
hrs_20514907,Story Rory (IRE),Thomas Gibney,trn_173538,Alberta Capital Ltd,own_1219024,Oscar (IRE),sir_3234945,Que Pasa (IRE),dam_5599573
hrs_25000549,Wee Charlie (IRE),Thomas Gibney,trn_173538,Alberta Capital Ltd,own_1219024,Court Cave (IRE),sir_4123686,Push And Boots (IRE),dam_5703467
hrs_33479082,Dun Ar Aill (IRE),Alexander Ott,trn_365238,Alexander Ott,own_1207092,Laverock (IRE),sir_4237240,Karinga Queen (IRE),dam_4947824
hrs_29509858,Vintage Gold (IRE),John Joseph Murphy,trn_44919,All Inclusive Syndicate,own_1301320,Highland Reel (IRE),sir_5957532,Simla Bibi (GB),dam_3743124
