race_id,race_name,course,date,type,class,pattern,aver_or,total_prize
rac_11238591,Tennent's Handicap,Ayr,2024-05-02,Flat,Class 5,,65.25,7624.8
rac_11272365,Mongey Communications La Touche Cup Cross Country Chase,Punchestown (IRE),2024-05-02,Chase,,,63.0,0.0
rac_11272352,Frontline Security Handicap Chase (),Punchestown (IRE),2024-05-02,Chase,,Listed,137.11764705882354,0.0
rac_11257961,Barberstown Castle Novice Chase,Punchestown (IRE),2024-05-02,Chase,,Grade 1,148.75,0.0
rac_11272404,Close Brothers Mares Novice Hurdle (),Punchestown (IRE),2024-05-02,Hurdle,,Listed,75.8125,0.0
rac_11272391,Conway Piling Handicap Hurdle (),Punchestown (IRE),2024-05-02,Hurdle,,Listed,131.64,0.0
rac_11272339,Specialist Group Handicap Hurdle,Punchestown (IRE),2024-05-02,Hurdle,,,117.75,0.0
rac_11257974,Ladbrokes Champion Stayers Hurdle,Punchestown (IRE),2024-05-02,Hurdle,,Grade 1,146.9090909090909,0.0
rac_11272417,JP & M Doyle (C & G) INH Flat Race,Punchestown (IRE),2024-05-02,NH Flat,,,0.0,0.0
rac_11236329,Congratulations Keith And Michelle Smith Open Hunters' Chase,Cheltenham,2024-05-03,Chase,Class 5,,79.0,5293.75
rac_11236316,Royal Gloucestershire Hussars Open Hunters' Chase,Cheltenham,2024-05-03,Chase,Class 5,,103.8,5293.75
rac_11236303,Cheltenham And South West Racing Club Mares' Open Hunters' Chase,Cheltenham,2024-05-03,Chase,Class 4,,71.0,6737.5
rac_11236290,Molson Coors Open Hunters' Chase,Cheltenham,2024-05-03,Chase,Class 4,,105.8,6737.5
rac_11236277,Junior Jumpers Open Hunters' Chase,Cheltenham,2024-05-03,Chase,Class 4,,98.66666666666667,6737.5
rac_11236264,Holland Cooper Intermediate Point-To-Point Hunters' Chase,Cheltenham,2024-05-03,Chase,Class 4,,27.0,9625.0
rac_11236251,Midlands Air Ambulance Mixed Open Hunters' Chase,Cheltenham,2024-05-03,Chase,Class 4,,118.33333333333333,9625.0
rac_11240749,Tips For Every Race At raceday-ready.com Handicap,Newcastle (AW),2024-05-03,Flat,Class 6,,52.666666666666664,5607.09
rac_11240736,Get The Inside Track With raceday-ready.com Handicap,Newcastle (AW),2024-05-03,Flat,Class 6,,51.111111111111114,5607.09
rac_11240723,Craig O'Shea's Last Dash For Freedom Apprentice Handicap,Newcastle (AW),2024-05-03,Flat,Class 6,,48.285714285714285,5607.09
rac_11240710,Alfie's Bar Handicap,Newcastle (AW),2024-05-03,Flat,Class 5,,62.857142857142854,6984.2699999999995
rac_11240697,Quaff Box Restricted Maiden Stakes (For horses In Bands B C And D) (GBB Race),Newcastle (AW),2024-05-03,Flat,Class 5,,15.2,7181.01
rac_11240684,Get Raceday Ready Handicap,Newcastle (AW),2024-05-03,Flat,Class 4,,78.66666666666667,9345.15
