race_id,race_name,course
rac_11343488,Tote Handicap Hurdle (Div II),Wexford (IRE)
rac_11342760,Visit Wexford Maiden Hurdle,Wexford (IRE)
rac_11342747,Tote Handicap Hurdle (Div I),Wexford (IRE)
rac_11342734,Shamrock Enterprises Maiden Hurdle,Wexford (IRE)
rac_11343202,Margaret&Shaun Harte Welcome Sidharth & Rashmi Singh From The Marwari Horse Society Handicap Hurdle,Downpatrick (IRE)
rac_11343189,Charles And Kathleen Caldwell Memorial Rated Novice Hurdle,Downpatrick (IRE)
rac_11343176,Plus 2 Print Remembering Tony Oakes MBE Maiden Hurdle,Downpatrick (IRE)
rac_11343163,Quinn Estate Agents Handicap Hurdle,Downpatrick (IRE)
rac_11343150,Cosy Roof (C & G) Maiden Hurdle,Downpatrick (IRE)
rac_11343137,ITBA Mares Maiden Hurdle,Downpatrick (IRE)
rac_11343748,KPH Construction Handicap Hurdle,Killarney (IRE)
rac_11343735,Kerry Drain Services Handicap Hurdle,Killarney (IRE)
rac_11343722,Adare Manor Opportunity Handicap Hurdle,Killarney (IRE)
rac_11343709,Irish Stallion Farms EBF Mares Hurdle,Killarney (IRE)
rac_11343696,Killarney Plaza Hotel & Spa Maiden Hurdle,Killarney (IRE)
rac_11345425,Lee Strand Handicap Hurdle,Killarney (IRE)
rac_11345412,Europe Hotel & Resort Mares Maiden Hurdle,Killarney (IRE)
rac_11345399,Killarney Grand 3-Y-O Maiden Hurdle,Killarney (IRE)
rac_11353056,Sweeney Oil Handicap Hurdle (Div II),Ballinrobe (IRE)
rac_11351717,Sweeney Oil Handicap Hurdle (Div I),Ballinrobe (IRE)
rac_11351704,BoyleSports Best Odds Guaranteed Handicap Hurdle,Ballinrobe (IRE)
rac_11351691,RBC Brewin Dolphin Rated Novice Hurdle,Ballinrobe (IRE)
rac_11351678,David Heneghan Memorial Handicap Hurdle,Ballinrobe (IRE)
rac_11351665,"West ""Howaya"" Maiden Hurdle",Ballinrobe (IRE)
rac_11351652,Breaffy House Resort Maiden Hurdle,Ballinrobe (IRE)
rac_11353914,Wexford Heritage Trails Handicap Hurdle (Div II),Wexford (IRE)
rac_11353901,Fleadh Cheoil Wexford Handicap Hurdle (Div II),Wexford (IRE)
rac_11351886,Wexford Heritage Trails Handicap Hurdle (Div I),Wexford (IRE)
rac_11351873,Fleadh Cheoil Wexford Handicap Hurdle (Div I),Wexford (IRE)
rac_11351860,Neville Hotels Ladies Handicap Hurdle,Wexford (IRE)
rac_11351847,visitwexford.ie Mares Maiden Hurdle,Wexford (IRE)
rac_11351834,Wexford (C & G) Maiden Hurdle,Wexford (IRE)
rac_11354460,Massey Ferguson Johnston Farm Equipment Longford Handicap Hurdle (Div II),Kilbeggan (IRE)
rac_11353498,Hurley Family Maiden Hurdle,Kilbeggan (IRE)
rac_11353485,Tote Handicap Hurdle,Kilbeggan (IRE)
rac_11353472,Massey Ferguson Johnston Farm Equipment Longford Handicap Hurdle (Div I),Kilbeggan (IRE)
rac_11353459,Tom McCormack Memorial Cup Maiden Hurdle,Kilbeggan (IRE)
rac_11353446,Tote Maiden Hurdle,Kilbeggan (IRE)
rac_11354837,Easyfix Handicap Hurdle,Galway (IRE)
rac_11354824,Galmont Hotel & The Galway Bay Hotel Novice Hurdle,Galway (IRE)
rac_11355201,COLM QUINN BMW Novice Hurdle ,Galway (IRE)
rac_11355305,Tote Where's Danny Irish EBF Mares Handicap Hurdle,Galway (IRE)
rac_11355292,Tote Never Beaten By SP Handicap Hurdle,Galway (IRE)
rac_11355279,Tote.ie Maiden Hurdle,Galway (IRE)
rac_11355422,Guinness Novice Hurdle,Galway (IRE)
rac_11353706,Guinness Galway Hurdle Handicap,Galway (IRE)
rac_11356956,Guinness Galway Tribes Handicap Hurdle,Galway (IRE)
rac_11357450,BoyleSports Best Odds Guaranteed Maiden Hurdle,Galway (IRE)
rac_11353719,BoyleSports Handicap Hurdle (),Galway (IRE)
rac_11357554,Kenny Galway Handicap Hurdle,Galway (IRE)
rac_11357541,Adare Manor Opportunity Handicap Hurdle,Galway (IRE)
rac_11365120,Follow Us On Instagram Handicap Hurdle (Div II),Cork (IRE)
rac_11363534,Kanturk Handicap Hurdle,Cork (IRE)
rac_11363521,Follow Us On Twitter Hurdle,Cork (IRE)
rac_11363508,Follow Us On Instagram Handicap Hurdle (Div I),Cork (IRE)
rac_11363495,Adare Manor Opportunity Maiden Hurdle,Cork (IRE)
rac_11363482,Fermoy Handicap Hurdle,Cork (IRE)
rac_11363469,Mallow Mares Maiden Hurdle,Cork (IRE)
rac_11365315,Curragh To Curragh Cycle on Saturday August 31st Maiden Hurdle Div II),Roscommon (IRE)
rac_11363950,Connolly's Red Mills Handicap Hurdle,Roscommon (IRE)
rac_11363937,Curragh To Curragh Cycle on Saturday August 31st Maiden Hurdle (Div I),Roscommon (IRE)
rac_11363924,Railway Bar Maiden Hurdle,Roscommon (IRE)
rac_11365718,Visit Wexford Handicap Hurdle (Div II),Wexford (IRE)
rac_11364028,Visit Wexford Handicap Hurdle (Div I),Wexford (IRE)
rac_11364015,Wexford Fillies Maiden Hurdle,Wexford (IRE)
rac_11364327,Lighthouse At Clifford Electrical Handicap Hurdle,Sligo (IRE)
rac_11364314,Mulhern Leonard Chartered Accountants Maiden Hurdle,Sligo (IRE)
rac_11364301,Apex Controls Ltd Handicap Hurdle,Sligo (IRE)
rac_11364288,Kilcawley Construction Rated Novice Hurdle,Sligo (IRE)
rac_11364275,Martin Reilly Hyundai Mares Maiden Hurdle,Sligo (IRE)
rac_11364262,Clayton Hotel Claiming Hurdle,Sligo (IRE)
rac_11367122,Pat Farrell Memorial Handicap Hurdle (Div II),Wexford (IRE)
rac_11365913,Traynors Of Wexford Handicap Hurdle,Wexford (IRE)
rac_11365900,Pat Farrell Memorial Handicap Hurdle (Div I),Wexford (IRE)
